,Unnamed: 0,date,open,high,low,close,200_ma,20_ema,100_ma,volume,volume_ma,rsi,relative_vol,atr,prev_close,$_change,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,lofd_o_delta%,hofd_lofd_delta%
234,433,2010-07-28 13:30:00,4.059958999999999,4.097459,3.959126,4.00246,4.393579035000002,3.8259045074020697,4.435241600000001,37122380,53261297.0,55.63184433418316,0.6969860309635344,0.17934192010285416,4.084125,-0.02416600000000102,-0.5917056897132438,-1.4162458290834732,0.923654647743993,-2.483596509225815,3.4940287326041104
238,437,2010-08-03 13:30:00,4.175792,4.209124,4.101626,4.143292,4.382818720000001,3.906380342826009,4.4080543500000005,31253148,45697739.6,58.6275329720278,0.6839101512145689,0.1955124669075437,4.202457,-0.026665000000000383,-0.6345097641689227,-0.7782954706556418,0.7982198347044032,-1.7760942115890817,2.620863043095583
240,439,2010-08-05 13:30:00,4.1549580000000015,4.225792,4.134125,4.22079,4.378164590000001,3.96442142802764,4.396061960000001,25336368,43058227.6,60.51369808092282,0.5884210617159727,0.15455863763549332,4.232457,-0.07749899999999954,-1.831064084053294,1.5844203479312795,1.704806643051475,-0.5014009768570807,2.2173253106763866
246,445,2010-08-13 13:30:00,3.704964,3.77663,3.698296,3.70413,4.362056430000002,3.951552827444189,4.334454230000001,34147036,39056138.6,41.464267218409475,0.8743065040229041,0.1709542399502624,3.745796,-0.04083199999999998,-1.0900753805065726,-0.022510340181437105,1.9343237883013171,-0.17997475818928055,2.11811061094082
247,446,2010-08-16 13:30:00,3.633298,3.742454,3.595797,3.705796,4.3604189500000015,3.9281474153066473,4.322104360000001,35453380,38882564.0,41.53481818198728,0.9118066390889242,0.16487992996269674,3.70413,-0.07083199999999977,-1.91224390072702,1.995377202750778,3.0043227943317623,-1.0321476520780783,4.0785672828582875
249,448,2010-08-18 13:30:00,3.843295,3.934119,3.77663,3.873295,4.357956475000002,3.9158271630968247,4.301049560000001,41848436,37555730.6,48.35897930279213,1.114302273752065,0.17383558560401702,3.845794,-0.002499000000000251,-0.06498007953624793,0.7805802052665811,2.36318055210438,-1.7345793128032059,4.170093443096094
250,449,2010-08-19 13:30:00,3.811629,3.843295,3.627464,3.67413,4.3563023250000015,3.892808385659032,4.287808030000001,55255728,38305554.0,41.72640075712369,1.4424991216678396,0.1918344392030128,3.873295,-0.06166599999999978,-1.5920811608720684,-3.6073552803801223,0.8307734042321531,-4.831661213617593,5.949914320307524
251,450,2010-08-20 13:30:00,3.638297,3.655797,3.55663,3.63913,4.354244010000001,3.868648539405791,4.274091500000001,42709396,38315637.6,40.67073365032815,1.1146727204664864,0.17325082940225955,3.67413,-0.035833000000000226,-0.9752785013050768,0.02289532712695208,0.4809942673728964,-2.2446490762024083,2.788229306956304
254,453,2010-08-25 13:30:00,3.3708,3.510657,3.304133,3.471632,4.343210795000001,3.7721379915542936,4.226775300000001,51903468,40164579.4,36.58465383341419,1.2922696758029542,0.18831425615407807,3.435799,-0.0649989999999998,-1.891816139419093,2.991337367983862,4.149074403702389,-1.9777797555476386,6.250474784156689
257,456,2010-08-30 13:30:00,3.536631,3.5732980000000003,3.4099660000000003,3.410798,4.325223050000002,3.6911827683912004,4.17455914,47651360,41799232.8,37.7776842600837,1.1400056127345954,0.19301949869000168,3.564964,-0.028332999999999938,-0.7947625838577878,-3.557990641375921,1.0367776564759075,-3.5815158550609203,4.78984247936783
