,date,open,high,low,close,vwap,volume,volume_ma,rsi,date2,time_of_day
4980,2011-10-27 18:30:00,5.60411063,5.686609799999999,5.58494415,5.64744353,5.490130985466767,5371365,3604226.95,78.75557434498009,2011-10-27,13.5
4981,2011-10-27 19:30:00,5.64577688,5.66161005,5.51244488,5.5799442,5.507597436571769,6092922,3565376.8,72.81925359093246,2011-10-27,14.5
5003,2011-11-02 13:30:00,4.94745053,4.9799502,4.89003443,4.94745053,4.939145053333334,4084456,3020401.95,43.0972150815131,2011-11-02,8.5
5004,2011-11-02 14:30:00,4.94461722,5.02828305,4.91578418,5.00251664,4.956785174138422,2835571,3065393.0,45.67447497775599,2011-11-02,9.5
5005,2011-11-02 15:30:00,5.0066166,5.0066166,4.95078383,4.97911688,4.9646597906719725,3843103,3166763.65,44.74700396543878,2011-11-02,10.5
5006,2011-11-02 16:30:00,4.97828355,5.0066166,4.833285,4.8699513,4.945752617467399,4791816,3314992.2,40.60452577646425,2011-11-02,11.5
5007,2011-11-02 17:30:00,4.866618,4.91578418,4.83495165,4.8766179,4.936011279404336,2515927,3352446.8,40.963957873571076,2011-11-02,12.5
5008,2011-11-02 18:30:00,4.87245128,5.00078333,4.866618,4.97495025,4.9378396571378484,3437814,3406238.4,46.14118263056353,2011-11-02,13.5
5009,2011-11-02 19:30:00,4.96828365,4.9899501,4.92078413,4.97411693,4.941034115482101,3338134,3401584.6,46.10428307556721,2011-11-02,14.5
5010,2011-11-03 13:30:00,5.14244858,5.15411513,4.92495075,5.02239144,5.033819106666667,7006471,3677974.95,48.66542210721798,2011-11-03,8.5
5011,2011-11-03 14:30:00,5.02161645,5.1371153,5.01411653,5.12551541,5.055653836620075,4180445,3830742.35,53.72434341506396,2011-11-03,9.5
5012,2011-11-03 15:30:00,5.1299487,5.14161525,5.0799492,5.13578198,5.064936573010353,1916709,3849033.55,54.208166287782475,2011-11-03,10.5
5013,2011-11-03 16:30:00,5.13744863,5.20161465,5.0932824,5.17647323,5.080791592553245,2721777,3856171.75,56.16440157239522,2011-11-03,11.5
5014,2011-11-03 17:30:00,5.16911498,5.24911418,5.16494835,5.199948,5.0949653277486755,2044623,3825178.45,57.29776363469443,2011-11-03,12.5
5015,2011-11-03 18:30:00,5.20078133,5.25411413,5.17744823,5.2532808,5.112691932757175,2740525,3799144.15,59.838333703057565,2011-11-03,13.5
5016,2011-11-03 19:30:00,5.25078083,5.2799472000000005,5.2266144,5.25161415,5.1360553391815635,4127308,3647835.45,59.718762647598346,2011-11-03,14.5
5045,2011-11-10 14:30:00,5.03411633,5.04744953,4.8766179,4.88245118,4.9355062033333335,6409762,3766829.95,39.07390750420956,2011-11-10,9.5
5046,2011-11-10 15:30:00,4.87495125,4.91578418,4.8132852,4.89161775,4.915437173913684,3071960,3850382.65,39.657629930825955,2011-11-10,10.5
5047,2011-11-10 16:30:00,4.8899511,4.98411683,4.88078453,4.9266174000000005,4.918502697497543,2421486,3912416.85,41.944735377811625,2011-11-10,11.5
5048,2011-11-10 17:30:00,4.92943404,5.03744963,4.8899511,4.99503338,4.929384222774635,2893737,3971662.2,46.23461511724535,2011-11-10,12.5
5049,2011-11-10 18:30:00,4.99578338,5.02244978,4.93578398,4.9466171999999995,4.934502219241216,2241785,3995093.4,43.769738888687776,2011-11-10,13.5
5050,2011-11-10 19:30:00,4.94245058,4.98078353,4.89578438,4.9632837,4.936103806576876,2595642,4002310.45,44.85951435276616,2011-11-10,14.5
