time,open,high,low,close,Plot,Plot,52 Week High,52 Week Low,VWAP,200 MA,100 MA,20 EMA,Volume,Volume MA,RSI
1511188200,258.14,258.525,257.86,258.3,NaN,NaN,NaN,NaN,258.2283333,244.04735,250.0225,257.3624368,48075514,65375169.1,58.38837416
1511274600,259.18,260.2,259.18,259.99,NaN,NaN,NaN,NaN,259.79,244.2026,250.2044,257.6126809,69176799,65487213.55,64.87882923
1511361000,260,260.15,259.57,259.76,NaN,NaN,NaN,NaN,259.8266667,244.3552,250.3799,257.8171875,45033392,62553118.6,63.428813
1511533800,260.32,260.48,260.16,260.36,NaN,NaN,NaN,NaN,260.3333333,244.504,250.5558,258.0593601,27746365,60450538.25,65.58939271
1511793000,260.41,260.75,260,260.23,NaN,NaN,NaN,NaN,260.3266667,244.6476,250.7526,258.2660877,52274922,58786157.15,64.69753463
1511879400,260.76,262.9,260.655,262.87,NaN,NaN,NaN,NaN,262.1416667,244.7981,250.9602,258.7045556,98971719,61020458.75,72.78935507
1511965800,263.02,263.63,262.2,262.71,NaN,NaN,NaN,NaN,262.8466667,244.94315,251.1636,259.0860265,77512102,61880824.8,71.71645139
1512052200,263.76,266.05,263.67,265.01,NaN,NaN,NaN,NaN,264.91,245.0936,251.3918,259.6502144,127894389,65565407.45,76.97124692
1512138600,264.76,265.31,260.76,264.46,NaN,NaN,NaN,NaN,263.51,245.2423,251.5963,260.1082892,164390902,70962475.8,73.45667274
1512397800,266.31,266.8,264.08,264.14,NaN,NaN,NaN,NaN,265.0066667,245.38755,251.7935,260.4922617,94040560,72685017.3,71.41353935
1512484200,264.43,265.15,263.04,263.19,NaN,NaN,NaN,NaN,263.7933333,245.52105,251.9698,260.7491891,77994544,74102114.6,65.58168894
1512570600,262.87,263.73,262.71,263.24,NaN,NaN,NaN,NaN,263.2266667,245.65585,252.1469,260.9864092,75898566,75021934.85,65.74026619
1512657000,263.09,264.43,262.94,264.07,NaN,NaN,NaN,NaN,263.8133333,245.794,252.331,261.2800845,77218569,76359384.35,68.34734547
1512743400,264.99,265.52,264.72,265.51,NaN,NaN,NaN,NaN,265.25,245.93785,252.5162,261.6829336,76563873,75433303.15,72.28751421
1513002600,265.58,266.38,265.4793,266.31,NaN,NaN,NaN,NaN,266.0564333,246.08385,252.7083,262.1236066,83077533,76587946.7,74.20837366
1513089000,266.57,267.32,266.345,266.78,NaN,NaN,NaN,NaN,266.815,246.2354,252.9073,262.5670727,85195750,78336301.8,75.29192997
1513175400,267.06,267.56,266.65,266.75,NaN,NaN,NaN,NaN,266.9866667,246.37025,253.1066,262.9654467,102905409,80415814.65,75.07512118
1513261800,267.09,267.22,265.6,265.66,NaN,NaN,NaN,NaN,266.16,246.5072,253.289,263.2220708,100666692,81408573,67.47278594
1513348200,265.45,267.04,265.39,266.51,NaN,NaN,NaN,NaN,266.3133333,246.64765,253.4798,263.5352069,144610290,85250236.15,70.02213219
1513607400,268.1,268.6,267.98,268.2,NaN,NaN,NaN,NaN,268.26,246.8001,253.6898,263.9794729,83676072,85646198.1,74.32998235
1513693800,268.48,268.53,267.09,267.17,NaN,NaN,NaN,NaN,267.5966667,246.95095,253.8924,264.2833327,82382876,87361566.2,67.92356101
1513780200,268.27,268.33,266.69,267.03,NaN,NaN,NaN,NaN,267.35,247.1033,254.095,264.54492,76751500,87740301.25,67.07730346
1513866600,267.74,268.385,267.3,267.58,NaN,NaN,NaN,NaN,267.755,247.2569,254.2976,264.8339753,67032339,88840248.6,68.72579862
